Frequency,PhaseNoise
16192068.24,-150.8052876
16483683.36,-151.0398715
16780550.4,-151.3049885
17082763.94,-151.1439256
17390420.27,-150.5209733
17703617.41,-151.1308733
18022455.15,-151.4990276
18347035.09,-151.5184547
18677460.62,-151.1482406
19013837.04,-151.1686921
19356271.51,-151.1763678
19704873.15,-151.1278934
20059753.01,-151.1561527
20421024.17,-151.5821825
20788801.74,-151.6104885
21163202.88,-151.6044442
21544346.9,-150.8084313
21932355.23,-151.2683495
22327351.49,-151.6607235
22729461.53,-150.779464
23138813.48,-150.986928
23555537.75,-149.7873256
23979767.13,-151.6590188
24411636.77,-151.7408908
24851284.27,-152.0360142
25298849.72,-152.191477
25754475.7,-152.3912968
26218307.4,-152.4051671
26690492.6,-152.5081951
27171181.73,-151.7095178
27660527.95,-152.3588338
28158687.18,-152.5434362
28665818.12,-152.1620378
29182082.38,-152.088139
29707644.42,-151.2537937
30242671.7,-152.2067735
30787334.7,-151.9593703
31341806.93,-152.1605091
31906265.08,-150.8090236
32480888.97,-151.9664131
33065861.7,-152.2577933
33661369.64,-152.3671876
34267602.53,-152.4688225
34884753.53,-152.3220687
35513019.26,-152.4743029
36152599.9,-152.4350727
36803699.23,-152.5511809
37466524.7,-152.4188955
38141287.48,-152.3464664
38828202.58,-152.3323838
39527488.85,-152.3542958
40000000,-152.2962484
